,,GPI from Models,,
Fishnet No,IDOCRIW-CoCoSo,CRITIC-CoCoSo,Mean Weighted COCOSO,Storativity data
0,4.518224,4.410197784,3.749947098,0.000003
1,7.41543,5.823738739,5.27526936,0.000016
2,7.854842,5.213808791,4.741646946,0.000029
3,6.523082,5.002434457,4.251612436,0.000015
4,8.584497,6.343887517,5.725351846,0.000026
5,6.201639,5.36914201,4.734639307,0.000011
6,7.466525,5.169413789,4.784210484,0.000025
7,5.611787,5.13563863,4.487476296,0.000009
8,5.787392,5.105219388,4.377902117,0.000012
9,4.948672,4.535997321,3.619296152,0.000014
10,4.413354,4.448886323,3.763928504,0.000003
11,5.094578,4.870813766,4.064946108,0.000012
12,4.135166,4.040609275,3.262690085,0.000003
13,4.707639,4.53675736,3.796517113,0.000007
14,5.536555,5.178108096,4.396144979,0.000014
15,5.441578,5.254665715,4.561852354,0.000009
16,3.719896,3.581365368,3.410995915,0.000009
17,3.8852,3.993727877,3.315162068,0.000000
18,3.077632,2.974795953,2.868342533,0.000004
19,5.419737,5.153210272,4.547669652,0.000008
20,6.454819,5.308377033,4.545772395,0.000015
21,6.391936,5.019496433,4.417455879,0.000024
22,5.320322,4.792264485,4.066440239,0.000007
23,7.840824,6.064022988,5.374029521,0.000017
24,6.094733,4.503988807,4.388953002,0.000018
25,6.032113,5.877934252,5.038935172,0.000030
26,5.581657,5.365504364,4.607604633,0.000010
27,4.206634,4.2177981,3.482324034,0.000002
28,6.963588,5.916066779,5.192947943,0.000015
29,6.096759,5.221246583,4.604451482,0.000008
30,7.644685,5.72271087,5.136599193,0.000009
31,3.905459,3.945046496,3.233788246,0.000000
32,6.972374,5.743259488,5.037522368,0.000014
33,7.472886,5.946798328,5.263150708,0.000015
34,6.318293,5.457760457,4.787390913,0.000010
35,5.782226,5.36443182,4.738460099,0.000008
36,5.866161,5.491111603,4.746470901,0.000013
37,3.527872,2.467889763,2.626419467,0.000011
38,4.564229,4.539467893,3.833915895,0.000003
39,4.595235,4.628039908,4.001198876,0.000002
40,8.807807,6.581151756,5.956819461,0.000022
41,5.463001,4.93934756,4.325542912,0.000004
42,7.714318,5.639965935,5.056698623,0.000007
43,5.465469,4.768386656,4.079714093,0.000005
44,4.290258,3.531947613,3.467118516,0.000006
45,4.280787,3.666322899,3.598728515,0.000007
46,7.285054,5.170173727,4.734337195,0.000018
47,4.487483,4.525719452,3.832140007,0.000003
48,4.471315,4.545758723,3.873303588,0.000003
49,5.112442,5.005354671,4.335537445,0.000005
50,5.996757,4.550132117,3.97483054,0.000012
51,5.168778,4.365772762,3.766866399,0.000018
52,7.680306,6.257962254,5.591359959,0.000018
53,7.679297,6.18192472,5.473563544,0.000015
54,7.490285,5.868003899,5.232283975,0.000014
55,6.460692,4.542830613,4.478979151,0.000017
56,6.179259,5.200513896,4.531300982,0.000009
57,4.960383,4.679933675,4.036291085,0.000004
58,3.301406,2.67805493,2.731506978,0.000005
59,5.473966,3.993082848,3.876022816,0.000010
60,5.756187,4.358471733,4.267852024,0.000014
61,5.247216,5.133488587,4.418003052,0.000008
62,4.624383,4.73434237,4.092433931,0.000004
63,4.762956,4.700320363,4.016963956,0.000004
64,6.130793,5.488280282,4.789073494,0.000010
65,6.289685,5.569570131,4.787618436,0.000015
66,7.113825,5.034871076,4.630546116,0.000020
67,7.901703,6.269750327,5.62326762,0.000023
68,6.873791,5.975221613,5.224420966,0.000010
69,7.929883,5.965745532,5.250259848,0.000018
70,6.463417,5.286751935,4.539220867,0.000012
71,9.000105,6.441435204,5.804322382,0.000019
72,9.598159,6.466633499,5.804070522,0.000035
73,1.701646,1.387400357,1.306688347,0.000005
74,6.65603,4.116201739,4.080817522,0.000013
75,9.178864,4.330146387,4.596982539,0.000032
76,5.333375,3.653002372,3.574528819,0.000011
77,6.536602,3.244440824,3.451903891,0.000025
78,5.517164,4.451567758,3.888296378,0.000024
79,2.746995,2.59647786,2.610804533,0.000008
80,6.442892,4.360937948,3.97097455,0.000027
81,8.386511,6.263793435,5.703579221,0.000015
